course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,text_profile
Programming Fundamentals,Duke University,COURSE,4.7,Beginner,19k,"Programming Fundamentals by Duke University, Beginner level, COURSE"
Programming for Everybody (Getting Started with Python),University of Michigan,COURSE,4.8,Mixed,1.3m,"Programming for Everybody (Getting Started with Python) by University of Michigan, Mixed level, COURSE"
Programming with Google Go,"University of California, Irvine",SPECIALIZATION,4.6,Intermediate,18k,"Programming with Google Go by University of California, Irvine, Intermediate level, SPECIALIZATION"
Project Execution,"University of California, Irvine",COURSE,4.2,Beginner,70k,"Project Execution by University of California, Irvine, Beginner level, COURSE"
Project Launch,"University of California, Irvine",COURSE,4.7,Beginner,190k,"Project Launch by University of California, Irvine, Beginner level, COURSE"
Project Management & Other Tools for Career Development,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,440k,"Project Management & Other Tools for Career Development by University of California, Irvine, Beginner level, SPECIALIZATION"
Project Management Principles and Practices,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,230k,"Project Management Principles and Practices by University of California, Irvine, Beginner level, SPECIALIZATION"
Psychological First Aid,Johns Hopkins University,COURSE,4.8,Mixed,190k,"Psychological First Aid by Johns Hopkins University, Mixed level, COURSE"
Public Policy Challenges of the 21st Century,University of Virginia,COURSE,4.6,Beginner,52k,"Public Policy Challenges of the 21st Century by University of Virginia, Beginner level, COURSE"
Python Basics,University of Michigan,COURSE,4.8,Beginner,110k,"Python Basics by University of Michigan, Beginner level, COURSE"
Python Classes and Inheritance,University of Michigan,COURSE,4.7,Intermediate,21k,"Python Classes and Inheritance by University of Michigan, Intermediate level, COURSE"
Python Data Structures,University of Michigan,COURSE,4.9,Mixed,420k,"Python Data Structures by University of Michigan, Mixed level, COURSE"
"Python Functions, Files, and Dictionaries",University of Michigan,COURSE,4.8,Beginner,26k,"Python Functions, Files, and Dictionaries by University of Michigan, Beginner level, COURSE"
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,COURSE,4.4,Intermediate,41k,"Python and Statistics for Financial Analysis by The Hong Kong University of Science and Technology, Intermediate level, COURSE"
Python for Data Science and AI,IBM,COURSE,4.6,Beginner,170k,"Python for Data Science and AI by IBM, Beginner level, COURSE"
Python for Everybody,University of Michigan,SPECIALIZATION,4.8,Beginner,1.5m,"Python for Everybody by University of Michigan, Beginner level, SPECIALIZATION"
Quantitative Methods,University of Amsterdam,COURSE,4.7,Mixed,69k,"Quantitative Methods by University of Amsterdam, Mixed level, COURSE"
Queering Identities: LGBTQ+ Sexuality and Gender Identity,University of Colorado System,COURSE,4.9,Beginner,3k,"Queering Identities: LGBTQ+ Sexuality and Gender Identity by University of Colorado System, Beginner level, COURSE"
R Programming,Johns Hopkins University,COURSE,4.6,Intermediate,480k,"R Programming by Johns Hopkins University, Intermediate level, COURSE"
"Ready, Set, Future! Introduction to Futures Thinking",Institute for the Future,COURSE,4.8,Beginner,7.7k,"Ready, Set, Future! Introduction to Futures Thinking by Institute for the Future, Beginner level, COURSE"
Recommender Systems,University of Minnesota,SPECIALIZATION,4.3,Intermediate,29k,"Recommender Systems by University of Minnesota, Intermediate level, SPECIALIZATION"
"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,COURSE,4.7,Mixed,35k,"Recruiting, Hiring, and Onboarding Employees by University of Minnesota, Mixed level, COURSE"
Reinforcement Learning,University of Alberta,SPECIALIZATION,4.7,Intermediate,23k,"Reinforcement Learning by University of Alberta, Intermediate level, SPECIALIZATION"
Renewable Energy and Green Building Entrepreneurship,Duke University,COURSE,4.7,Beginner,24k,"Renewable Energy and Green Building Entrepreneurship by Duke University, Beginner level, COURSE"
Reporting extra-financier et stratégie RSE,ESSEC Business School,COURSE,4.7,Beginner,5.2k,"Reporting extra-financier et stratégie RSE by ESSEC Business School, Beginner level, COURSE"
Requirements Engineering: Secure Software  Specifications,University of Colorado System,SPECIALIZATION,4.6,Beginner,7.2k,"Requirements Engineering: Secure Software  Specifications by University of Colorado System, Beginner level, SPECIALIZATION"
Research Data Management and Sharing,The University of Edinburgh,COURSE,4.6,Mixed,16k,"Research Data Management and Sharing by The University of Edinburgh, Mixed level, COURSE"
"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",University of Minnesota,COURSE,4.8,Mixed,15k,"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives by University of Minnesota, Mixed level, COURSE"
Responsive Website Development and Design,"Goldsmiths, University of London",SPECIALIZATION,4.5,Beginner,170k,"Responsive Website Development and Design by Goldsmiths, University of London, Beginner level, SPECIALIZATION"
Rethinking International Tax Law,Universiteit Leiden,COURSE,4.9,Mixed,36k,"Rethinking International Tax Law by Universiteit Leiden, Mixed level, COURSE"
Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,COURSE,4.9,Intermediate,17k,"Revisão Sistemática e Meta-análise by Universidade Estadual de Campinas, Intermediate level, COURSE"
Robotics,University of Pennsylvania,SPECIALIZATION,4.4,Beginner,120k,"Robotics by University of Pennsylvania, Beginner level, SPECIALIZATION"
Roman Architecture,Yale University,COURSE,4.9,Beginner,30k,"Roman Architecture by Yale University, Beginner level, COURSE"
Russian Alphabet,Saint Petersburg State University,COURSE,4.7,Beginner,3.2k,"Russian Alphabet by Saint Petersburg State University, Beginner level, COURSE"
Russian for beginners А1. Русский язык: A1,Saint Petersburg State University,SPECIALIZATION,4.7,Beginner,7k,"Russian for beginners А1. Русский язык: A1 by Saint Petersburg State University, Beginner level, SPECIALIZATION"
Réussir le Changement,ESSEC Business School,COURSE,4.5,Mixed,33k,"Réussir le Changement by ESSEC Business School, Mixed level, COURSE"
SAS Programmer,SAS,PROFESSIONAL CERTIFICATE,4.8,Beginner,370k,"SAS Programmer by SAS, Beginner level, PROFESSIONAL CERTIFICATE"
SAS Visual Business Analytics,SAS,PROFESSIONAL CERTIFICATE,4.6,Beginner,2.6k,"SAS Visual Business Analytics by SAS, Beginner level, PROFESSIONAL CERTIFICATE"
SQL for Data Science,"University of California, Davis",COURSE,4.6,Beginner,160k,"SQL for Data Science by University of California, Davis, Beginner level, COURSE"
Sales Operations/Management,West Virginia University,SPECIALIZATION,4.4,Beginner,5.6k,"Sales Operations/Management by West Virginia University, Beginner level, SPECIALIZATION"
Sales Training for High Performing Teams,HubSpot Academy,SPECIALIZATION,4.7,Beginner,16k,"Sales Training for High Performing Teams by HubSpot Academy, Beginner level, SPECIALIZATION"
Sample-based Learning Methods,University of Alberta,COURSE,4.8,Intermediate,6.8k,"Sample-based Learning Methods by University of Alberta, Intermediate level, COURSE"
Scaling Operations: Linking Strategy and Execution,Northwestern University,COURSE,4.5,Mixed,12k,"Scaling Operations: Linking Strategy and Execution by Northwestern University, Mixed level, COURSE"
School Health for Children and Adolescents,University of Colorado System,SPECIALIZATION,4.8,Beginner,9.1k,"School Health for Children and Adolescents by University of Colorado System, Beginner level, SPECIALIZATION"
Science of Exercise,University of Colorado Boulder,COURSE,4.8,Beginner,140k,"Science of Exercise by University of Colorado Boulder, Beginner level, COURSE"
Search Engine Optimization Fundamentals,"University of California, Davis",COURSE,4.7,Mixed,47k,"Search Engine Optimization Fundamentals by University of California, Davis, Mixed level, COURSE"
Secure Coding Practices,"University of California, Davis",SPECIALIZATION,4.4,Intermediate,6.4k,"Secure Coding Practices by University of California, Davis, Intermediate level, SPECIALIZATION"
Security & Safety Challenges in a Globalized World,Universiteit Leiden,COURSE,4.7,Beginner,14k,"Security & Safety Challenges in a Globalized World by Universiteit Leiden, Beginner level, COURSE"
Security in Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300k,"Security in Google Cloud Platform by Google Cloud, Intermediate level, SPECIALIZATION"
Self-Driving Cars,University of Toronto,SPECIALIZATION,4.7,Advanced,39k,"Self-Driving Cars by University of Toronto, Advanced level, SPECIALIZATION"
Sequence Models,deeplearning.ai,COURSE,4.8,Intermediate,14k,"Sequence Models by deeplearning.ai, Intermediate level, COURSE"
Sexualidad...mucho más que sexo,Universidad de los Andes,COURSE,4.8,Beginner,110k,"Sexualidad...mucho más que sexo by Universidad de los Andes, Beginner level, COURSE"
Sharpened Visions: A Poetry Workshop,California Institute of the Arts,COURSE,4.7,Beginner,61k,"Sharpened Visions: A Poetry Workshop by California Institute of the Arts, Beginner level, COURSE"
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,COURSE,4.5,Advanced,16k,"Site Reliability Engineering: Measuring and Managing Reliability by Google Cloud, Advanced level, COURSE"
Six Sigma Green Belt,University System of Georgia,SPECIALIZATION,4.7,Intermediate,18k,"Six Sigma Green Belt by University System of Georgia, Intermediate level, SPECIALIZATION"
Six Sigma and the Organization (Advanced),University System of Georgia,COURSE,4.7,Intermediate,15k,"Six Sigma and the Organization (Advanced) by University System of Georgia, Intermediate level, COURSE"
"Sleep: Neurobiology, Medicine, and Society",University of Michigan,COURSE,4.8,Beginner,20k,"Sleep: Neurobiology, Medicine, and Society by University of Michigan, Beginner level, COURSE"
Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,COURSE,4.6,Beginner,22k,"Smart Cities – Management of Smart Urban Infrastructures by École Polytechnique Fédérale de Lausanne, Beginner level, COURSE"
Social Entrepreneurship,Copenhagen Business School,SPECIALIZATION,4.6,Beginner,13k,"Social Entrepreneurship by Copenhagen Business School, Beginner level, SPECIALIZATION"
Social Media Marketing,Northwestern University,SPECIALIZATION,4.6,Beginner,130k,"Social Media Marketing by Northwestern University, Beginner level, SPECIALIZATION"
"Social Norms, Social Change I",University of Pennsylvania,COURSE,4.6,Beginner,78k,"Social Norms, Social Change I by University of Pennsylvania, Beginner level, COURSE"
Social Policy for Social Services & Health Practitioners,Columbia University,SPECIALIZATION,4.8,Beginner,4.2k,"Social Policy for Social Services & Health Practitioners by Columbia University, Beginner level, SPECIALIZATION"
Social Psychology,Wesleyan University,COURSE,4.7,Beginner,220k,"Social Psychology by Wesleyan University, Beginner level, COURSE"
Social and Economic Networks:  Models and Analysis,Stanford University,COURSE,4.8,Advanced,42k,"Social and Economic Networks:  Models and Analysis by Stanford University, Advanced level, COURSE"
Software Design and Architecture,University of Alberta,SPECIALIZATION,4.6,Beginner,60k,"Software Design and Architecture by University of Alberta, Beginner level, SPECIALIZATION"
Software Development Lifecycle,University of Minnesota,SPECIALIZATION,4.6,Intermediate,34k,"Software Development Lifecycle by University of Minnesota, Intermediate level, SPECIALIZATION"
Software Processes and Agile Practices,University of Alberta,COURSE,4.7,Mixed,60k,"Software Processes and Agile Practices by University of Alberta, Mixed level, COURSE"
Software Product Management,University of Alberta,SPECIALIZATION,4.6,Beginner,110k,"Software Product Management by University of Alberta, Beginner level, SPECIALIZATION"
Solar Energy Basics,The State University of New York,COURSE,4.8,Beginner,17k,"Solar Energy Basics by The State University of New York, Beginner level, COURSE"
Songwriting: Writing the Lyrics,Berklee College of Music,COURSE,4.8,Beginner,68k,"Songwriting: Writing the Lyrics by Berklee College of Music, Beginner level, COURSE"
Soporte de Tecnologías de la Información de Google,Crece con Google,PROFESSIONAL CERTIFICATE,4.9,Beginner,8.8k,"Soporte de Tecnologías de la Información de Google by Crece con Google, Beginner level, PROFESSIONAL CERTIFICATE"
Spacecraft Dynamics and Control,University of Colorado Boulder,SPECIALIZATION,4.8,Advanced,12k,"Spacecraft Dynamics and Control by University of Colorado Boulder, Advanced level, SPECIALIZATION"
Spanish Vocabulary: Meeting People,"University of California, Davis",COURSE,4.6,Beginner,71k,"Spanish Vocabulary: Meeting People by University of California, Davis, Beginner level, COURSE"
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,COURSE,4.6,Mixed,430k,"Speak English Professionally: In Person, Online & On the Phone by Georgia Institute of Technology, Mixed level, COURSE"
Sports Marketing,Northwestern University,COURSE,4.7,Intermediate,12k,"Sports Marketing by Northwestern University, Intermediate level, COURSE"
Sports and Society,Duke University,COURSE,4.8,Mixed,16k,"Sports and Society by Duke University, Mixed level, COURSE"
Stanford Introduction to Food and Health,Stanford University,COURSE,4.7,Beginner,370k,"Stanford Introduction to Food and Health by Stanford University, Beginner level, COURSE"
Stanford's Short Course on Breastfeeding,Stanford University,COURSE,4.7,Beginner,17k,"Stanford's Short Course on Breastfeeding by Stanford University, Beginner level, COURSE"
Statistical Analysis with R for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,16k,"Statistical Analysis with R for Public Health by Imperial College London, Beginner level, SPECIALIZATION"
Statistics with Python,University of Michigan,SPECIALIZATION,4.6,Beginner,34k,"Statistics with Python by University of Michigan, Beginner level, SPECIALIZATION"
Statistics with R,Duke University,SPECIALIZATION,4.7,Beginner,220k,"Statistics with R by Duke University, Beginner level, SPECIALIZATION"
Stories of Infection,Stanford University,COURSE,4.9,Intermediate,28k,"Stories of Infection by Stanford University, Intermediate level, COURSE"
Strategic Business Analytics,ESSEC Business School,SPECIALIZATION,4.3,Advanced,60k,"Strategic Business Analytics by ESSEC Business School, Advanced level, SPECIALIZATION"
Strategic Business Management - Microeconomics,"University of California, Irvine",COURSE,4.7,Beginner,9.5k,"Strategic Business Management - Microeconomics by University of California, Irvine, Beginner level, COURSE"
Strategic Leadership and Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,100k,"Strategic Leadership and Management by University of Illinois at Urbana-Champaign, Beginner level, SPECIALIZATION"
Strategic Management,Copenhagen Business School,COURSE,4.7,Mixed,58k,"Strategic Management by Copenhagen Business School, Mixed level, COURSE"
Strategic Management and Innovation,Copenhagen Business School,SPECIALIZATION,4.7,Beginner,68k,"Strategic Management and Innovation by Copenhagen Business School, Beginner level, SPECIALIZATION"
Strategic Sales Management,Fundação Instituto de Administração,SPECIALIZATION,4.5,Intermediate,9.2k,"Strategic Sales Management by Fundação Instituto de Administração, Intermediate level, SPECIALIZATION"
Strategising: Management for Global Competitive Advantage,Macquarie University,SPECIALIZATION,4.8,Intermediate,30k,"Strategising: Management for Global Competitive Advantage by Macquarie University, Intermediate level, SPECIALIZATION"
Strategy and Sustainability,IESE Business School,COURSE,4.6,Beginner,11k,"Strategy and Sustainability by IESE Business School, Beginner level, COURSE"
Structuring Machine Learning Projects,deeplearning.ai,COURSE,4.8,Beginner,220k,"Structuring Machine Learning Projects by deeplearning.ai, Beginner level, COURSE"
Success,University of Pennsylvania,COURSE,4.8,Beginner,38k,"Success by University of Pennsylvania, Beginner level, COURSE"
Successful Negotiation: Essential Strategies and Skills,University of Michigan,COURSE,4.8,Mixed,750k,"Successful Negotiation: Essential Strategies and Skills by University of Michigan, Mixed level, COURSE"
Summary Statistics in Public Health,Johns Hopkins University,COURSE,4.8,Beginner,11k,"Summary Statistics in Public Health by Johns Hopkins University, Beginner level, COURSE"
Supply Chain Analytics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,7.9k,"Supply Chain Analytics by Rutgers the State University of New Jersey, Beginner level, COURSE"
Supply Chain Finance and Blockchain Technology,New York Institute of Finance,SPECIALIZATION,4.6,Intermediate,4.9k,"Supply Chain Finance and Blockchain Technology by New York Institute of Finance, Intermediate level, SPECIALIZATION"
Supply Chain Logistics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,66k,"Supply Chain Logistics by Rutgers the State University of New Jersey, Beginner level, COURSE"
Supply Chain Management,Rutgers the State University of New Jersey,SPECIALIZATION,4.7,Beginner,82k,"Supply Chain Management by Rutgers the State University of New Jersey, Beginner level, SPECIALIZATION"
Supply Chain Operations,Rutgers the State University of New Jersey,COURSE,4.8,Beginner,24k,"Supply Chain Operations by Rutgers the State University of New Jersey, Beginner level, COURSE"
Supply Chain Principles,Georgia Institute of Technology,COURSE,4.6,Mixed,29k,"Supply Chain Principles by Georgia Institute of Technology, Mixed level, COURSE"
Supporting children with difficulties in reading and writing,UCL Institute of Education,COURSE,4.8,Mixed,50k,"Supporting children with difficulties in reading and writing by UCL Institute of Education, Mixed level, COURSE"
Survey Data Collection and Analytics,"University of Maryland, College Park",SPECIALIZATION,4.3,Beginner,45k,"Survey Data Collection and Analytics by University of Maryland, College Park, Beginner level, SPECIALIZATION"
Sustainable Tourism – promoting environmental public health,University of Copenhagen,COURSE,4.6,Beginner,9.4k,"Sustainable Tourism – promoting environmental public health by University of Copenhagen, Beginner level, COURSE"
Swift 5 iOS Application Developer,LearnQuest,SPECIALIZATION,4.5,Beginner,3.9k,"Swift 5 iOS Application Developer by LearnQuest, Beginner level, SPECIALIZATION"
System Administration and IT Infrastructure Services,Google,COURSE,4.7,Beginner,62k,"System Administration and IT Infrastructure Services by Google, Beginner level, COURSE"
Systems Biology and Biotechnology,Icahn School of Medicine at Mount Sinai,SPECIALIZATION,4.4,Intermediate,48k,"Systems Biology and Biotechnology by Icahn School of Medicine at Mount Sinai, Intermediate level, SPECIALIZATION"
Systems Thinking In Public Health,Johns Hopkins University,COURSE,4.9,Mixed,33k,"Systems Thinking In Public Health by Johns Hopkins University, Mixed level, COURSE"
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,100k,"TESOL Certificate, Part 1: Teach English Now! by Arizona State University, Beginner level, SPECIALIZATION"
"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,62k,"TESOL Certificate, Part 2: Teach English Now! by Arizona State University, Beginner level, SPECIALIZATION"
Teach English Now! Foundational Principles,Arizona State University,COURSE,4.9,Mixed,81k,"Teach English Now! Foundational Principles by Arizona State University, Mixed level, COURSE"
Teach English Now! Teaching Language Online,Arizona State University,COURSE,4.4,Intermediate,8.5k,"Teach English Now! Teaching Language Online by Arizona State University, Intermediate level, COURSE"
Teaching Character and Creating Positive Classrooms,Relay Graduate School of Education,COURSE,4.8,Mixed,53k,"Teaching Character and Creating Positive Classrooms by Relay Graduate School of Education, Mixed level, COURSE"
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,COURSE,4.8,Beginner,49k,"Teamwork Skills: Communicating Effectively in Groups by University of Colorado Boulder, Beginner level, COURSE"
Technical Support Fundamentals,Google,COURSE,4.8,Beginner,280k,"Technical Support Fundamentals by Google, Beginner level, COURSE"
TensorFlow in Practice,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,170k,"TensorFlow in Practice by deeplearning.ai, Intermediate level, SPECIALIZATION"
TensorFlow: Data and Deployment,deeplearning.ai,SPECIALIZATION,4.5,Intermediate,12k,"TensorFlow: Data and Deployment by deeplearning.ai, Intermediate level, SPECIALIZATION"
Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,COURSE,4.8,Beginner,90k,"Terrorism and Counterterrorism: Comparing Theory and Practice by Universiteit Leiden, Beginner level, COURSE"
The Addicted Brain,Emory University,COURSE,4.6,Beginner,130k,"The Addicted Brain by Emory University, Beginner level, COURSE"
The Art of Music Production,Berklee College of Music,COURSE,4.8,Intermediate,47k,"The Art of Music Production by Berklee College of Music, Intermediate level, COURSE"
The Art of Sales: Mastering the Selling Process,Northwestern University,SPECIALIZATION,4.7,Beginner,23k,"The Art of Sales: Mastering the Selling Process by Northwestern University, Beginner level, SPECIALIZATION"
The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,COURSE,4.5,Beginner,73k,"The Arts and Science of Relationships: Understanding Human Needs by University of Toronto, Beginner level, COURSE"
The Bits and Bytes of Computer Networking,Google,COURSE,4.7,Beginner,130k,"The Bits and Bytes of Computer Networking by Google, Beginner level, COURSE"
The Business of Health Care,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,22k,"The Business of Health Care by University of Pennsylvania, Beginner level, SPECIALIZATION"
The Business of Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,84k,"The Business of Music Production by Berklee College of Music, Beginner level, SPECIALIZATION"
The Changing Global Order,Universiteit Leiden,COURSE,4.7,Intermediate,23k,"The Changing Global Order by Universiteit Leiden, Intermediate level, COURSE"
The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",COURSE,4.8,Beginner,11k,"The Cycle: Management of Successful Arts and Cultural Organizations by University of Maryland, College Park, Beginner level, COURSE"
The DIY Musician,Berklee College of Music,SPECIALIZATION,4.8,Beginner,120k,"The DIY Musician by Berklee College of Music, Beginner level, SPECIALIZATION"
The Data Scientist’s Toolbox,Johns Hopkins University,COURSE,4.6,Mixed,420k,"The Data Scientist’s Toolbox by Johns Hopkins University, Mixed level, COURSE"
The Economics of Health Care Delivery,University of Pennsylvania,COURSE,4.8,Mixed,7.2k,"The Economics of Health Care Delivery by University of Pennsylvania, Mixed level, COURSE"
The Global Financial Crisis,Yale University,COURSE,4.8,Mixed,84k,"The Global Financial Crisis by Yale University, Mixed level, COURSE"
The Horse Course: Introduction to Basic Care and Management,University of Florida,COURSE,4.9,Mixed,29k,"The Horse Course: Introduction to Basic Care and Management by University of Florida, Mixed level, COURSE"
The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",COURSE,4.6,Mixed,47k,"The Manager's Toolkit: A Practical Guide to Managing People at Work by Birkbeck, University of London, Mixed level, COURSE"
"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,COURSE,4.8,Beginner,130k,"The Modern World, Part One: Global History from 1760 to 1910 by University of Virginia, Beginner level, COURSE"
"The Modern World, Part Two: Global History since 1910",University of Virginia,COURSE,4.8,Beginner,47k,"The Modern World, Part Two: Global History since 1910 by University of Virginia, Beginner level, COURSE"
The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,COURSE,4.9,Intermediate,9.4k,"The Oral Cavity: Portal to Health and Disease by University of Pennsylvania, Intermediate level, COURSE"
The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.6,Mixed,180k,"The Power of Macroeconomics: Economic Principles in the Real World by University of California, Irvine, Mixed level, COURSE"
The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.7,Mixed,120k,"The Power of Microeconomics: Economic Principles in the Real World by University of California, Irvine, Mixed level, COURSE"
The Pronunciation of American English,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,1.7k,"The Pronunciation of American English by University of California, Irvine, Beginner level, SPECIALIZATION"
The Science of Gastronomy,The Hong Kong University of Science and Technology,COURSE,4.6,Mixed,50k,"The Science of Gastronomy by The Hong Kong University of Science and Technology, Mixed level, COURSE"
The Science of Stem Cells,American Museum of Natural History,COURSE,4.7,Intermediate,12k,"The Science of Stem Cells by American Museum of Natural History, Intermediate level, COURSE"
The Science of Success: What Researchers Know that You Should Know,University of Michigan,COURSE,4.8,Beginner,59k,"The Science of Success: What Researchers Know that You Should Know by University of Michigan, Beginner level, COURSE"
The Science of Training Young Athletes,University of Florida,COURSE,4.9,Beginner,13k,"The Science of Training Young Athletes by University of Florida, Beginner level, COURSE"
The Science of Well-Being,Yale University,COURSE,4.9,Mixed,2.5m,"The Science of Well-Being by Yale University, Mixed level, COURSE"
The Singer Songwriter,Berklee College of Music,SPECIALIZATION,4.8,Beginner,320k,"The Singer Songwriter by Berklee College of Music, Beginner level, SPECIALIZATION"
The Social Context of Mental Health and Illness,University of Toronto,COURSE,4.6,Mixed,19k,"The Social Context of Mental Health and Illness by University of Toronto, Mixed level, COURSE"
The Strategy of Content Marketing,"University of California, Davis",COURSE,4.5,Intermediate,100k,"The Strategy of Content Marketing by University of California, Davis, Intermediate level, COURSE"
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,COURSE,4.8,Beginner,26k,"The Sustainable Development Goals – A global, transdisciplinary vision for the future by University of Copenhagen, Beginner level, COURSE"
The Teacher and Social and Emotional Learning (SEL),University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,5.2k,"The Teacher and Social and Emotional Learning (SEL) by University of Colorado Boulder, Beginner level, SPECIALIZATION"
The Technology of Music Production,Berklee College of Music,COURSE,4.8,Beginner,28k,"The Technology of Music Production by Berklee College of Music, Beginner level, COURSE"
The Truth About Cats and Dogs,The University of Edinburgh,COURSE,4.7,Mixed,33k,"The Truth About Cats and Dogs by The University of Edinburgh, Mixed level, COURSE"
The hidden value – Lean in manufacturing and services,École des Ponts ParisTech,COURSE,4.7,Beginner,14k,"The hidden value – Lean in manufacturing and services by École des Ponts ParisTech, Beginner level, COURSE"
Think Again I: How to Understand Arguments,Duke University,COURSE,4.6,Beginner,200k,"Think Again I: How to Understand Arguments by Duke University, Beginner level, COURSE"
Tools for Data Science,IBM,COURSE,4.6,Beginner,120k,"Tools for Data Science by IBM, Beginner level, COURSE"
Trading Strategies in Emerging Markets,Indian School of Business,SPECIALIZATION,4.3,Beginner,68k,"Trading Strategies in Emerging Markets by Indian School of Business, Beginner level, SPECIALIZATION"
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),COURSE,4.8,Mixed,45k,"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences by UNSW Sydney (The University of New South Wales), Mixed level, COURSE"
Tricky American English Pronunciation,"University of California, Irvine",COURSE,4.7,Beginner,110k,"Tricky American English Pronunciation by University of California, Irvine, Beginner level, COURSE"
Troubles du spectre de l'autisme : diagnostic,University of Geneva,COURSE,4.9,Intermediate,5.4k,"Troubles du spectre de l'autisme : diagnostic by University of Geneva, Intermediate level, COURSE"
U.S. Federal Taxation,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k,"U.S. Federal Taxation by University of Illinois at Urbana-Champaign, Intermediate level, SPECIALIZATION"
UCI Project Management,"University of California, Irvine",PROFESSIONAL CERTIFICATE,4.6,Beginner,44k,"UCI Project Management by University of California, Irvine, Beginner level, PROFESSIONAL CERTIFICATE"
UI / UX Design,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,68k,"UI / UX Design by California Institute of the Arts, Beginner level, SPECIALIZATION"
UX Design Fundamentals,California Institute of the Arts,COURSE,4.8,Beginner,25k,"UX Design Fundamentals by California Institute of the Arts, Beginner level, COURSE"
Understanding Cancer Metastasis,Johns Hopkins University,COURSE,4.8,Beginner,29k,"Understanding Cancer Metastasis by Johns Hopkins University, Beginner level, COURSE"
Understanding Clinical Research: Behind the Statistics,University of Cape Town,COURSE,4.8,Mixed,78k,"Understanding Clinical Research: Behind the Statistics by University of Cape Town, Mixed level, COURSE"
Understanding Einstein: The Special Theory of Relativity,Stanford University,COURSE,4.9,Beginner,89k,"Understanding Einstein: The Special Theory of Relativity by Stanford University, Beginner level, COURSE"
Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,COURSE,4.8,Beginner,24k,"Understanding Medical Research: Your Facebook Friend is Wrong by Yale University, Beginner level, COURSE"
Understanding Modern Finance,American Institute of Business and Economics,SPECIALIZATION,4.4,Intermediate,11k,"Understanding Modern Finance by American Institute of Business and Economics, Intermediate level, SPECIALIZATION"
Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,COURSE,4.8,Beginner,49k,"Understanding Plants - Part I: What a Plant Knows by Tel Aviv University, Beginner level, COURSE"
Understanding Research Methods,SOAS University of London,COURSE,4.5,Mixed,120k,"Understanding Research Methods by SOAS University of London, Mixed level, COURSE"
Understanding and Visualizing Data with Python,University of Michigan,COURSE,4.7,Beginner,30k,"Understanding and Visualizing Data with Python by University of Michigan, Beginner level, COURSE"
Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,COURSE,4.9,Beginner,130k,"Understanding the Brain: The Neurobiology of Everyday Life by The University of Chicago, Beginner level, COURSE"
Unity Certified Programmer Exam Preparation,Unity,SPECIALIZATION,4.5,Intermediate,6.1k,"Unity Certified Programmer Exam Preparation by Unity, Intermediate level, SPECIALIZATION"
Unity XR: How to Build AR and VR Apps,Unity,SPECIALIZATION,4.2,Beginner,12k,"Unity XR: How to Build AR and VR Apps by Unity, Beginner level, SPECIALIZATION"
